what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.net,3.3.0.v20091013-0200-e3x,"org.eclipse.mylyn.commons.net",1284448468810
started,bundle,org.eclipse.mylyn.commons.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.commons.ui",1284448468810
started,bundle,org.eclipse.mylyn.context.core,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.context.core",1284448468811
started,bundle,org.eclipse.mylyn.context.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.context.ui",1284448468812
started,bundle,org.eclipse.mylyn.monitor.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.monitor.ui",1284448468812
started,bundle,org.eclipse.mylyn.tasks.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.tasks.ui",1284448468813
started,bundle,org.eclipse.mylyn.team.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.team.ui",1284448468813
started,bundle,org.eclipse.search,3.5.1.r351_v20090708-0800,"org.eclipse.search",1284448468814
started,bundle,org.eclipse.team.core,3.5.1.r35x_20100113-0800,"org.eclipse.team.core",1284448468815
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1284448468815
started,bundle,org.eclipse.team.cvs.ui,3.3.202.r35x_20090930-0800,"org.eclipse.team.cvs.ui",1284448468816
started,bundle,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui",1284448468816
started,bundle,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui",1284448468817
started,bundle,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console",1284448468818
started,bundle,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.editors",1284448468818
started,bundle,org.eclipse.ui.forms,3.4.1.v20090714_35x,"org.eclipse.ui.forms",1284448468819
started,bundle,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.ide",1284448468820
started,bundle,org.eclipse.ui.net,1.2.1.r35x_20090812-1200,"org.eclipse.ui.net",1284448468820
started,bundle,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views",1284448468821
started,bundle,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"org.eclipse.ui.workbench",1284448468822
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.workbench.texteditor",1284448468822
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1284448468823
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1284448468823
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1284448468824
os,sysinfo,,,"win32",1284448468826
arch,sysinfo,,,"x86",1284448468827
ws,sysinfo,,,"win32",1284448468827
locale,sysinfo,,,"de_CH",1284448468827
processors,sysinfo,,,"2",1284448468827
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1284448468827
java.runtime.version,sysinfo,,,"1.6.0_21-b07",1284448468827
java.specification.name,sysinfo,,,"Java Platform API Specification",1284448468827
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1284448468827
java.specification.version,sysinfo,,,"1.6",1284448468827
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1284448468827
java.version,sysinfo,,,"1.6.0_21",1284448468827
java.vm.info,sysinfo,,,"mixed mode, sharing",1284448468827
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1284448468827
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1284448468827
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1284448468827
java.vm.specification.version,sysinfo,,,"1.0",1284448468827
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1284448468827
java.vm.version,sysinfo,,,"17.0-b17",1284448468827
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284448471767
started,bundle,org.eclipse.core.filesystem,1.2.1.R35x_v20091203-1235,"org.eclipse.core.filesystem",1284448485412
started,bundle,org.eclipse.debug.core,3.5.1.v20091103_r352,"org.eclipse.debug.core",1284450282972
started,bundle,org.eclipse.jdt.launching,3.5.1.v20100108_r352,"org.eclipse.jdt.launching",1284450282995
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284450475419
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.import",1284450475439
started,bundle,org.eclipse.compare,3.5.2.r35x_20100113-0800,"org.eclipse.compare",1284450487789
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284450494321
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284450498005
started,bundle,org.eclipse.ltk.core.refactoring,3.5.0.v20090513-2000,"org.eclipse.ltk.core.refactoring",1284450501713
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.101.r352_v20100209,"org.eclipse.ltk.ui.refactoring",1284450503233
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284450504359
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284450508017
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284450508323
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284450709739
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1284450709749
started,bundle,org.eclipse.jdt.apt.core,3.3.202.R35x_v20091130-2300,"org.eclipse.jdt.apt.core",1284450710628
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.201.R35x_v20090925-1100,"org.eclipse.jdt.apt.pluggable.core",1284450710655
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284450747235
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284450754846
executed,command,org.eclipse.ltk.ui.refactoring,3.4.101.r352_v20100209,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1284450754867
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1284450754867
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284450781218
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284450782467
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284450782606
stopped,bundle,org.eclipse.mylyn.ide.ant,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.ide.ant",1284450783265
stopped,bundle,org.eclipse.ant.ui,3.4.2.v20091204_r352,"org.eclipse.ant.ui",1284450783266
stopped,bundle,org.eclipse.compare.win32,1.0.0.I20090430-0408,"org.eclipse.compare.win32",1284450783267
stopped,bundle,org.eclipse.mylyn.java.tasks,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.java.tasks",1284450783267
stopped,bundle,org.eclipse.mylyn.java.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.java.ui",1284450783268
stopped,bundle,org.eclipse.jdt.junit,3.5.2.r352_v20100113-0800,"org.eclipse.jdt.junit",1284450783268
stopped,bundle,com.objectaid.uml.cls.java,0.9.86,"com.objectaid.uml.cls.java",1284450783269
stopped,bundle,com.objectaid.uml.cls,0.9.86,"com.objectaid.uml.cls",1284450783269
stopped,bundle,com.objectaid.uml.java,0.9.86,"com.objectaid.uml.java",1284450783269
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.200.v20090930-2100_R35x,"org.eclipse.jdt.apt.ui",1284450783288
stopped,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1284450783307
stopped,bundle,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui",1284450783307
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1284450783307
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1284451987478
started,bundle,org.eclipse.osgi,3.5.2.R35x_v20100126,"org.eclipse.osgi",1284451987480
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.101.R35x_v20090807-1100,"org.eclipse.equinox.simpleconfigurator",1284451987482
started,bundle,com.ibm.icu,4.0.1.v20090822,"com.ibm.icu",1284451987483
started,bundle,com.objectaid.uml,0.9.86,"com.objectaid.uml",1284451987483
started,bundle,com.objectaid.uml.cls,0.9.86,"com.objectaid.uml.cls",1284451987483
started,bundle,org.eclipse.core.contenttype,3.4.1.R35x_v20090826-0451,"org.eclipse.core.contenttype",1284451987483
